formula,instruction,branches,depth,nodes,b-depth,c-branches,c-depth,c-nodes,is tautology
p1,{{1}},2,2,3,1,2,2,3,False
p2,{{2}},2,2,3,1,2,2,3,False
p3,{{3}},2,2,3,1,2,2,3,False
~(p1),{{1}},2,3,4,1,2,3,4,False
~(p2),{{2}},2,3,4,1,2,3,4,False
~(p3),{{3}},2,3,4,1,2,3,4,False
~(~(p1)),{{1}},2,3,5,1,2,3,5,False
~(~(p2)),{{2}},2,3,5,1,2,3,5,False
~(~(p3)),{{3}},2,3,5,1,2,3,5,False
(p1) & (p1),{{1}},2,3,5,1,2,3,5,False
(p1) -> (p1),{{1}},2,3,5,1,2,3,5,True
(p1) v (p1),{{1}},2,3,5,1,2,3,5,False
(p1) = (p1),{{1}},2,3,5,1,2,3,5,True
(p1) & (p2),{{1}{22}},3,4,8,2,4,4,11,False
(p1) & (p2),{{2}{11}},3,4,8,2,4,4,11,False
(p1) -> (p2),{{1}{22}},3,4,8,2,4,4,11,False
(p1) -> (p2),{{2}{11}},3,4,8,2,4,4,11,False
(p1) v (p2),{{1}{22}},3,4,8,2,4,4,11,False
(p1) v (p2),{{2}{11}},3,4,8,2,4,4,11,False
(p1) = (p2),{{1}{22}},4,4,11,2,4,4,11,False
(p1) = (p2),{{2}{11}},4,4,11,2,4,4,11,False
(p1) & (p3),{{1}{33}},3,4,8,2,4,4,11,False
(p1) & (p3),{{3}{11}},3,4,8,2,4,4,11,False
(p1) -> (p3),{{1}{33}},3,4,8,2,4,4,11,False
(p1) -> (p3),{{3}{11}},3,4,8,2,4,4,11,False
(p1) v (p3),{{1}{33}},3,4,8,2,4,4,11,False
(p1) v (p3),{{3}{11}},3,4,8,2,4,4,11,False
(p1) = (p3),{{1}{33}},4,4,11,2,4,4,11,False
(p1) = (p3),{{3}{11}},4,4,11,2,4,4,11,False
(p2) & (p1),{{2}{11}},3,4,8,2,4,4,11,False
(p2) & (p1),{{1}{22}},3,4,8,2,4,4,11,False
(p2) -> (p1),{{2}{11}},3,4,8,2,4,4,11,False
(p2) -> (p1),{{1}{22}},3,4,8,2,4,4,11,False
(p2) v (p1),{{2}{11}},3,4,8,2,4,4,11,False
(p2) v (p1),{{1}{22}},3,4,8,2,4,4,11,False
(p2) = (p1),{{2}{11}},4,4,11,2,4,4,11,False
(p2) = (p1),{{1}{22}},4,4,11,2,4,4,11,False
(p2) & (p2),{{2}},2,3,5,1,2,3,5,False
(p2) -> (p2),{{2}},2,3,5,1,2,3,5,True
(p2) v (p2),{{2}},2,3,5,1,2,3,5,False
(p2) = (p2),{{2}},2,3,5,1,2,3,5,True
(p2) & (p3),{{2}{33}},3,4,8,2,4,4,11,False
(p2) & (p3),{{3}{22}},3,4,8,2,4,4,11,False
(p2) -> (p3),{{2}{33}},3,4,8,2,4,4,11,False
(p2) -> (p3),{{3}{22}},3,4,8,2,4,4,11,False
(p2) v (p3),{{2}{33}},3,4,8,2,4,4,11,False
(p2) v (p3),{{3}{22}},3,4,8,2,4,4,11,False
(p2) = (p3),{{2}{33}},4,4,11,2,4,4,11,False
(p2) = (p3),{{3}{22}},4,4,11,2,4,4,11,False
(p3) & (p1),{{3}{11}},3,4,8,2,4,4,11,False
(p3) & (p1),{{1}{33}},3,4,8,2,4,4,11,False
(p3) -> (p1),{{3}{11}},3,4,8,2,4,4,11,False
(p3) -> (p1),{{1}{33}},3,4,8,2,4,4,11,False
(p3) v (p1),{{3}{11}},3,4,8,2,4,4,11,False
(p3) v (p1),{{1}{33}},3,4,8,2,4,4,11,False
(p3) = (p1),{{3}{11}},4,4,11,2,4,4,11,False
(p3) = (p1),{{1}{33}},4,4,11,2,4,4,11,False
(p3) & (p2),{{3}{22}},3,4,8,2,4,4,11,False
(p3) & (p2),{{2}{33}},3,4,8,2,4,4,11,False
(p3) -> (p2),{{3}{22}},3,4,8,2,4,4,11,False
(p3) -> (p2),{{2}{33}},3,4,8,2,4,4,11,False
(p3) v (p2),{{3}{22}},3,4,8,2,4,4,11,False
(p3) v (p2),{{2}{33}},3,4,8,2,4,4,11,False
(p3) = (p2),{{3}{22}},4,4,11,2,4,4,11,False
(p3) = (p2),{{2}{33}},4,4,11,2,4,4,11,False
(p3) & (p3),{{3}},2,3,5,1,2,3,5,False
(p3) -> (p3),{{3}},2,3,5,1,2,3,5,True
(p3) v (p3),{{3}},2,3,5,1,2,3,5,False
(p3) = (p3),{{3}},2,3,5,1,2,3,5,True
~(~(~(p1))),{{1}},2,4,6,1,2,4,6,False
~(~(~(p2))),{{2}},2,4,6,1,2,4,6,False
~(~(~(p3))),{{3}},2,4,6,1,2,4,6,False
~((p1) & (p1)),{{1}},2,4,6,1,2,4,6,False
~((p1) -> (p1)),{{1}},2,4,7,1,2,4,7,False
~((p1) v (p1)),{{1}},2,4,6,1,2,4,6,False
~((p1) = (p1)),{{1}},2,4,7,1,2,4,7,False
~((p1) & (p2)),{{1}{22}},3,5,9,2,4,5,12,False
~((p1) & (p2)),{{2}{11}},3,5,9,2,4,5,12,False
~((p1) -> (p2)),{{1}{22}},3,5,10,2,4,5,14,False
~((p1) -> (p2)),{{2}{11}},3,5,10,2,4,5,14,False
~((p1) v (p2)),{{1}{22}},3,5,10,2,4,5,14,False
~((p1) v (p2)),{{2}{11}},3,5,10,2,4,5,14,False
~((p1) = (p2)),{{1}{22}},4,5,13,2,4,5,13,False
~((p1) = (p2)),{{2}{11}},4,5,13,2,4,5,13,False
~((p1) & (p3)),{{1}{33}},3,5,9,2,4,5,12,False
~((p1) & (p3)),{{3}{11}},3,5,9,2,4,5,12,False
~((p1) -> (p3)),{{1}{33}},3,5,10,2,4,5,14,False
~((p1) -> (p3)),{{3}{11}},3,5,10,2,4,5,14,False
~((p1) v (p3)),{{1}{33}},3,5,10,2,4,5,14,False
~((p1) v (p3)),{{3}{11}},3,5,10,2,4,5,14,False
~((p1) = (p3)),{{1}{33}},4,5,13,2,4,5,13,False
~((p1) = (p3)),{{3}{11}},4,5,13,2,4,5,13,False
~((p2) & (p1)),{{2}{11}},3,5,9,2,4,5,12,False
~((p2) & (p1)),{{1}{22}},3,5,9,2,4,5,12,False
~((p2) -> (p1)),{{2}{11}},3,5,10,2,4,5,14,False
~((p2) -> (p1)),{{1}{22}},3,5,10,2,4,5,14,False
~((p2) v (p1)),{{2}{11}},3,5,10,2,4,5,14,False
~((p2) v (p1)),{{1}{22}},3,5,10,2,4,5,14,False
~((p2) = (p1)),{{2}{11}},4,5,13,2,4,5,13,False
~((p2) = (p1)),{{1}{22}},4,5,13,2,4,5,13,False
~((p2) & (p2)),{{2}},2,4,6,1,2,4,6,False
~((p2) -> (p2)),{{2}},2,4,7,1,2,4,7,False
~((p2) v (p2)),{{2}},2,4,6,1,2,4,6,False
~((p2) = (p2)),{{2}},2,4,7,1,2,4,7,False
~((p2) & (p3)),{{2}{33}},3,5,9,2,4,5,12,False
~((p2) & (p3)),{{3}{22}},3,5,9,2,4,5,12,False
~((p2) -> (p3)),{{2}{33}},3,5,10,2,4,5,14,False
~((p2) -> (p3)),{{3}{22}},3,5,10,2,4,5,14,False
~((p2) v (p3)),{{2}{33}},3,5,10,2,4,5,14,False
~((p2) v (p3)),{{3}{22}},3,5,10,2,4,5,14,False
~((p2) = (p3)),{{2}{33}},4,5,13,2,4,5,13,False
~((p2) = (p3)),{{3}{22}},4,5,13,2,4,5,13,False
~((p3) & (p1)),{{3}{11}},3,5,9,2,4,5,12,False
~((p3) & (p1)),{{1}{33}},3,5,9,2,4,5,12,False
~((p3) -> (p1)),{{3}{11}},3,5,10,2,4,5,14,False
~((p3) -> (p1)),{{1}{33}},3,5,10,2,4,5,14,False
~((p3) v (p1)),{{3}{11}},3,5,10,2,4,5,14,False
~((p3) v (p1)),{{1}{33}},3,5,10,2,4,5,14,False
~((p3) = (p1)),{{3}{11}},4,5,13,2,4,5,13,False
~((p3) = (p1)),{{1}{33}},4,5,13,2,4,5,13,False
~((p3) & (p2)),{{3}{22}},3,5,9,2,4,5,12,False
~((p3) & (p2)),{{2}{33}},3,5,9,2,4,5,12,False
~((p3) -> (p2)),{{3}{22}},3,5,10,2,4,5,14,False
~((p3) -> (p2)),{{2}{33}},3,5,10,2,4,5,14,False
~((p3) v (p2)),{{3}{22}},3,5,10,2,4,5,14,False
~((p3) v (p2)),{{2}{33}},3,5,10,2,4,5,14,False
~((p3) = (p2)),{{3}{22}},4,5,13,2,4,5,13,False
~((p3) = (p2)),{{2}{33}},4,5,13,2,4,5,13,False
~((p3) & (p3)),{{3}},2,4,6,1,2,4,6,False
~((p3) -> (p3)),{{3}},2,4,7,1,2,4,7,False
~((p3) v (p3)),{{3}},2,4,6,1,2,4,6,False
~((p3) = (p3)),{{3}},2,4,7,1,2,4,7,False
(p1) & (~(p1)),{{1}},2,4,6,1,2,4,6,False
(p1) -> (~(p1)),{{1}},2,4,6,1,2,4,6,False
(p1) v (~(p1)),{{1}},2,4,6,1,2,4,6,True
(p1) = (~(p1)),{{1}},2,4,6,1,2,4,6,False
(p1) & (~(p2)),{{1}{22}},3,5,9,2,4,5,13,False
(p1) & (~(p2)),{{2}{11}},3,4,9,2,4,5,13,False
(p1) -> (~(p2)),{{1}{22}},3,5,9,2,4,5,13,False
(p1) -> (~(p2)),{{2}{11}},3,5,9,2,4,5,13,False
(p1) v (~(p2)),{{1}{22}},3,5,9,2,4,5,13,False
(p1) v (~(p2)),{{2}{11}},3,5,9,2,4,5,13,False
(p1) = (~(p2)),{{1}{22}},4,5,13,2,4,5,13,False
(p1) = (~(p2)),{{2}{11}},4,5,12,2,4,5,13,False
(p1) & (~(p3)),{{1}{33}},3,5,9,2,4,5,13,False
(p1) & (~(p3)),{{3}{11}},3,4,9,2,4,5,13,False
(p1) -> (~(p3)),{{1}{33}},3,5,9,2,4,5,13,False
(p1) -> (~(p3)),{{3}{11}},3,5,9,2,4,5,13,False
(p1) v (~(p3)),{{1}{33}},3,5,9,2,4,5,13,False
(p1) v (~(p3)),{{3}{11}},3,5,9,2,4,5,13,False
(p1) = (~(p3)),{{1}{33}},4,5,13,2,4,5,13,False
(p1) = (~(p3)),{{3}{11}},4,5,12,2,4,5,13,False
(p2) & (~(p1)),{{2}{11}},3,5,9,2,4,5,13,False
(p2) & (~(p1)),{{1}{22}},3,4,9,2,4,5,13,False
(p2) -> (~(p1)),{{2}{11}},3,5,9,2,4,5,13,False
(p2) -> (~(p1)),{{1}{22}},3,5,9,2,4,5,13,False
(p2) v (~(p1)),{{2}{11}},3,5,9,2,4,5,13,False
(p2) v (~(p1)),{{1}{22}},3,5,9,2,4,5,13,False
(p2) = (~(p1)),{{2}{11}},4,5,13,2,4,5,13,False
(p2) = (~(p1)),{{1}{22}},4,5,12,2,4,5,13,False
(p2) & (~(p2)),{{2}},2,4,6,1,2,4,6,False
(p2) -> (~(p2)),{{2}},2,4,6,1,2,4,6,False
(p2) v (~(p2)),{{2}},2,4,6,1,2,4,6,True
(p2) = (~(p2)),{{2}},2,4,6,1,2,4,6,False
(p2) & (~(p3)),{{2}{33}},3,5,9,2,4,5,13,False
(p2) & (~(p3)),{{3}{22}},3,4,9,2,4,5,13,False
(p2) -> (~(p3)),{{2}{33}},3,5,9,2,4,5,13,False
(p2) -> (~(p3)),{{3}{22}},3,5,9,2,4,5,13,False
(p2) v (~(p3)),{{2}{33}},3,5,9,2,4,5,13,False
(p2) v (~(p3)),{{3}{22}},3,5,9,2,4,5,13,False
(p2) = (~(p3)),{{2}{33}},4,5,13,2,4,5,13,False
(p2) = (~(p3)),{{3}{22}},4,5,12,2,4,5,13,False
(p3) & (~(p1)),{{3}{11}},3,5,9,2,4,5,13,False
(p3) & (~(p1)),{{1}{33}},3,4,9,2,4,5,13,False
(p3) -> (~(p1)),{{3}{11}},3,5,9,2,4,5,13,False
(p3) -> (~(p1)),{{1}{33}},3,5,9,2,4,5,13,False
(p3) v (~(p1)),{{3}{11}},3,5,9,2,4,5,13,False
(p3) v (~(p1)),{{1}{33}},3,5,9,2,4,5,13,False
(p3) = (~(p1)),{{3}{11}},4,5,13,2,4,5,13,False
(p3) = (~(p1)),{{1}{33}},4,5,12,2,4,5,13,False
(p3) & (~(p2)),{{3}{22}},3,5,9,2,4,5,13,False
(p3) & (~(p2)),{{2}{33}},3,4,9,2,4,5,13,False
(p3) -> (~(p2)),{{3}{22}},3,5,9,2,4,5,13,False
(p3) -> (~(p2)),{{2}{33}},3,5,9,2,4,5,13,False
(p3) v (~(p2)),{{3}{22}},3,5,9,2,4,5,13,False
(p3) v (~(p2)),{{2}{33}},3,5,9,2,4,5,13,False
(p3) = (~(p2)),{{3}{22}},4,5,13,2,4,5,13,False
(p3) = (~(p2)),{{2}{33}},4,5,12,2,4,5,13,False
(p3) & (~(p3)),{{3}},2,4,6,1,2,4,6,False
(p3) -> (~(p3)),{{3}},2,4,6,1,2,4,6,False
(p3) v (~(p3)),{{3}},2,4,6,1,2,4,6,True
(p3) = (~(p3)),{{3}},2,4,6,1,2,4,6,False
(~(p1)) & (p1),{{1}},2,4,6,1,2,4,6,False
(~(p1)) -> (p1),{{1}},2,4,6,1,2,4,6,False
(~(p1)) v (p1),{{1}},2,4,6,1,2,4,6,True
(~(p1)) = (p1),{{1}},2,4,6,1,2,4,6,False
(~(p1)) & (p2),{{1}{22}},3,4,9,2,4,5,13,False
(~(p1)) & (p2),{{2}{11}},3,5,9,2,4,5,13,False
(~(p1)) -> (p2),{{1}{22}},3,4,9,2,4,5,13,False
(~(p1)) -> (p2),{{2}{11}},3,5,9,2,4,5,13,False
(~(p1)) v (p2),{{1}{22}},3,5,9,2,4,5,13,False
(~(p1)) v (p2),{{2}{11}},3,5,9,2,4,5,13,False
(~(p1)) = (p2),{{1}{22}},4,5,12,2,4,5,13,False
(~(p1)) = (p2),{{2}{11}},4,5,13,2,4,5,13,False
(~(p1)) & (p3),{{1}{33}},3,4,9,2,4,5,13,False
(~(p1)) & (p3),{{3}{11}},3,5,9,2,4,5,13,False
(~(p1)) -> (p3),{{1}{33}},3,4,9,2,4,5,13,False
(~(p1)) -> (p3),{{3}{11}},3,5,9,2,4,5,13,False
(~(p1)) v (p3),{{1}{33}},3,5,9,2,4,5,13,False
(~(p1)) v (p3),{{3}{11}},3,5,9,2,4,5,13,False
(~(p1)) = (p3),{{1}{33}},4,5,12,2,4,5,13,False
(~(p1)) = (p3),{{3}{11}},4,5,13,2,4,5,13,False
(~(p2)) & (p1),{{2}{11}},3,4,9,2,4,5,13,False
(~(p2)) & (p1),{{1}{22}},3,5,9,2,4,5,13,False
(~(p2)) -> (p1),{{2}{11}},3,4,9,2,4,5,13,False
(~(p2)) -> (p1),{{1}{22}},3,5,9,2,4,5,13,False
